ID;NAME;DESCRIPTION;AMOUNT
1;juego de comedor- 6 sillas;La mesa tiene una base de cedro y un vidrio biselado de 1.25 metros de diámetro. Cuenta con 6 sillas también de cedro.;3500
2;sofa seccional en L;Sofá de dos cuerpos en L con cojines removbles en color blanco hueso;2500
